,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
91,91,4,0,0.4607993276519366,[0 1 2 3],[14 18 17  5],"18,2",0,1,0,2,0
92,92,5,0,0.30040060025092297,[0 1 2 3 4],[ 8 17 10 14  5],"18,4",0,1,2,1,0
93,93,5,0,0.5165861718567066,[0 1 2 3 4],[ 8 17 14  5 10],"18,6",0,1,2,1,0
94,94,4,0,0.5956354625343316,[0 1 2 3],[17 18 14  5],"18,8",0,1,1,1,0
95,95,4,0,0.5439991756784056,[0 1 2 3],[18 17  5 14],19,0,1,1,1,0
96,96,4,0,0.5006041076941016,[0 1 2 3],[17 18  5 14],"19,2",0,1,1,1,0
97,97,4,0,0.5980565718044394,[0 1 2 3],[17 18 14  5],"19,4",0,1,1,1,0
98,98,4,0,0.6609245602842745,[0 1 2 3],[18  5 14 17],"19,6",0,1,1,1,0
99,99,4,0,0.6610794217242464,[0 1 2 3],[17 18 14  5],"19,8",0,1,1,1,0
100,100,5,0,0.5525659267230634,[0 1 2 3 4],[ 5  9  9 17 14],20,0,0,3,1,0
101,101,4,0,0.6060639592098455,[0 1 2 3],[17 18  5 14],"20,2",0,1,1,1,0
102,102,4,0,0.644469891909692,[0 1 2 3],[18 17 14  5],"20,4",0,1,1,1,0
103,103,4,0,0.5552872498851129,[0 1 2 3],[14  5 18 17],"20,6",0,1,0,2,0
104,104,4,0,0.589012276984523,[0 1 2 3],[14 17 18  5],"20,8",0,1,0,2,0
105,105,4,0,0.6344033103043135,[0 1 2 3],[18 17 14  5],21,0,1,1,1,0
106,106,4,0,0.6388329838845919,[0 1 2 3],[ 5 18 17 14],"21,2",0,0,1,2,0
107,107,4,0,0.6310803814319894,[0 1 2 3],[ 5 18 17 14],"21,4",0,0,1,2,0
108,108,4,0,0.5348418710564661,[0 1 2 3],[14 18 17  5],"21,6",0,1,0,2,0
109,109,4,0,0.6027621992487953,[0 1 2 3],[14 18 17  5],"21,8",0,1,0,2,0
110,110,4,0,0.6515848966361985,[0 1 2 3],[14 17 18  5],22,0,1,0,2,0
111,111,4,0,0.675885344423654,[0 1 2 3],[14 17 18  5],"22,2",0,1,0,2,0
112,112,4,0,0.6662016740430536,[0 1 2 3],[17 14 18  5],"22,4",0,1,1,1,0
