,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
183,183,5,0,0.5599579838186549,[0 1 2 3 4],[12  6 11  7 18],"36,6",0,2,1,1,0
184,184,5,0,0.5934386059139596,[0 1 2 3 4],[11  7 18  5 13],"36,8",0,2,1,1,0
185,185,5,0,0.6146853857900849,[0 1 2 3 4],[ 8 11  6 18 11],37,0,1,2,1,0
186,186,4,0,0.5746883393687314,[0 1 2 3],[11 14 10 19],"37,2",0,0,2,1,0
187,187,6,0,0.47199857748344265,[0 1 2 3 4 5],[12  4 12  7 11  8],"37,4",1,2,2,0,0
188,188,6,0,0.4817151447029026,[0 1 2 3 4 5],[ 7  7  6 12 14  8],"37,6",0,3,2,0,0
189,189,6,0,0.484475561098623,[0 1 2 3 4 5],[ 5 11  6 12  7 13],"37,8",0,2,3,0,0
190,190,6,0,0.48281923520520875,[0 1 2 3 4 5],[ 8  5  7 11 14  9],38,0,2,3,0,0
191,191,5,0,0.44409378684152545,[0 1 2 3 4],[14 10  8 11 11],"38,2",0,1,3,0,0
192,192,6,0,0.5001404036955713,[0 1 2 3 4 5],[17  2  6  6 12 11],"38,4",1,2,2,0,0
193,193,5,0,0.5690968902576565,[0 1 2 3 4],[17 13  2 18  4],"38,6",2,0,1,1,0
194,194,5,0,0.5849686632073704,[0 1 2 3 4],[16 12 18  5  3],"38,8",1,1,1,1,0
195,195,4,0,0.6275756532046985,[0 1 2 3],[12 18  8 16],39,0,1,0,2,0
196,196,4,0,0.6261396689019522,[0 1 2 3],[14 16 18  6],"39,2",0,1,0,2,0
197,197,4,0,0.6505785485737106,[0 1 2 3],[13 18 17  6],"39,4",0,1,0,2,0
198,198,4,0,0.6428801487235314,[0 1 2 3],[12 18 17  7],"39,6",0,1,0,2,0
199,199,4,0,0.6091988749710272,[0 1 2 3],[18 15 18  3],"39,8",1,0,1,1,0
200,200,6,0,0.5061708637235438,[0 1 2 3 4 5],[16  3 14  8 10  3],40,2,1,2,0,0
201,201,4,0,0.5993795631122393,[0 1 2 3],[12  5 18 19],"40,2",0,1,0,2,0
202,202,4,0,0.5980529928592607,[0 1 2 3],[13  4 18 19],"40,4",1,0,0,2,0
203,203,4,0,0.537069043318523,[0 1 2 3],[ 9 15 18 12],"40,6",0,0,2,1,0
204,204,5,0,0.5454278724140652,[0 1 2 3 4],[ 9  4 13 18 10],"40,8",1,0,2,1,0
205,205,5,0,0.5284091428971573,[0 1 2 3 4],[ 8 11  6 18 11],41,0,1,2,1,0
206,206,5,0,0.5396120057642793,[0 1 2 3 4],[ 8  6 11 18 11],"41,2",0,1,2,1,0
