,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
131,131,6,0,0.6638857167910525,[0 1 2 3 4 5],[18 14  9  3  5  5],1,2,2,0,0
132,132,6,1,0.6413161742962618,[-1  0  1  2  3  4  5],[ 1 18 14 10  5  2  4],2,1,2,1,0
133,133,6,1,0.6640765266801063,[-1  0  1  2  3  4  5],[ 1 18 14  8  5  3  5],1,3,1,1,0
134,134,6,1,0.6427699896443855,[-1  0  1  2  3  4  5],[ 1 18 14  6  5  3  7],1,3,1,1,0
135,135,5,1,0.6489833948555179,[-1  0  1  2  3  4],[ 1 18 13  6 11  5],0,2,2,1,0
136,136,5,0,0.6502325587794175,[0 1 2 3 4],[18 14  5 12  5],0,2,2,0,0
137,137,6,3,0.627470939084249,[-1  0  1  2  3  4  5],[ 3 18 12  5  8  5  3],1,3,1,1,0
138,138,6,0,0.6903532152730018,[0 1 2 3 4 5],[18 14  8  7  5  2],1,3,1,0,0
139,139,5,1,0.6599889414455767,[-1  0  1  2  3  4],[ 1 18 13  6 11  5],0,2,2,1,0
140,140,6,1,0.6727943446667914,[-1  0  1  2  3  4  5],[ 1 18 13  7  8  5  2],1,3,1,1,0
141,141,5,2,0.6912458789900372,[-1  0  1  2  3  4],[ 2 18 13  9  5  7],0,2,2,1,0
142,142,7,1,0.6754488294056178,[-1  0  1  2  3  4  5  6],[ 1 18 11  3 10  5  2  4],3,1,2,1,0
143,143,7,1,0.6702984999962984,[-1  0  1  2  3  4  5  6],[ 1 18 11  3  6  5  5  5],1,4,1,1,0
144,144,7,0,0.6866883978949898,[0 1 2 3 4 5 6],[18 11  3 10  4  5  3],3,1,2,0,0
145,145,7,0,0.6760011742149517,[0 1 2 3 4 5 6],[18 10  4  9  4  5  4],3,1,2,0,0
146,146,6,1,0.667135712949076,[-1  0  1  2  3  4  5],[ 1 18 10  4 14  5  2],2,1,2,1,0
147,147,5,0,0.6705852862649695,[0 1 2 3 4],[18 14 15  5  2],1,1,2,0,0
148,148,5,3,0.6671362688131737,[-1  0  1  2  3  4],[ 3 18 11 15  5  2],1,1,2,1,0
149,149,4,2,0.6115480981448292,[-1  0  1  2  3],[ 2 18 13 16  5],0,1,1,2,0
150,150,7,0,0.6586142344566193,[0 1 2 3 4 5 6],[18  8  6 11  4  5  2],2,3,1,0,0
151,151,8,0,0.6139901935150888,[0 1 2 3 4 5 6 7],[18  7  4 11  4  3  5  2],4,2,1,0,0
152,152,8,0,0.6095619029148861,[0 1 2 3 4 5 6 7],[18  5  9  2  4  7  4  5],3,3,1,0,0
153,153,7,1,0.6345590626226565,[-1  0  1  2  3  4  5  6],[ 1 18  5  9 10  4  5  2],2,2,2,1,0
154,154,7,0,0.6547572070725367,[0 1 2 3 4 5 6],[18  6  8 11  4  5  2],2,3,1,0,0
155,155,4,2,0.5778365330390938,[-1  0  1  2  3],[ 2 18 13 16  5],0,1,1,2,0
156,156,5,1,0.5974518931594552,[-1  0  1  2  3  4],[ 1 18  7  7 16  5],0,3,0,2,0
157,157,5,2,0.5745304327265344,[-1  0  1  2  3  4],[ 2 18 13 13  4  4],2,0,2,1,0
158,158,5,1,0.6085811970462779,[-1  0  1  2  3  4],[ 1 18 13 13  5  4],1,1,2,1,0
159,159,7,0,0.6055992095733517,[0 1 2 3 4 5 6],[18  7  3  8  9  4  5],2,3,1,0,0
160,160,5,2,0.6426605778554602,[-1  0  1  2  3  4],[ 2 18  9  5 15  5],0,2,2,1,0
161,161,6,1,0.6398086783979979,[-1  0  1  2  3  4  5],[ 1 18  7  7 14  5  2],1,3,1,1,0
162,162,8,0,0.5926677799537695,[0 1 2 3 4 5 6 7],[18  5  9  8  4  2  3  5],3,3,1,0,0
163,163,6,0,0.6509288155531059,[0 1 2 3 4 5],[18 10  4  7 10  5],1,2,2,0,0
164,164,7,0,0.6437516914392355,[0 1 2 3 4 5 6],[18  8  4  6 11  5  2],2,3,1,0,0
165,165,5,2,0.5863227335920493,[-1  0  1  2  3  4],[ 2 18  7  6 16  5],0,3,0,2,0
166,166,5,1,0.6124184787754371,[-1  0  1  2  3  4],[ 1 18 11  3 16  5],1,1,1,2,0
167,167,6,0,0.6480944230151986,[0 1 2 3 4 5],[18  9  5 15  5  2],1,2,2,0,0
168,168,5,1,0.5934587975257528,[-1  0  1  2  3  4],[ 1 18 13  3 14  5],1,1,2,1,0
169,169,5,3,0.5384186116907121,[-1  0  1  2  3  4],[ 3 18 13  2 14  4],2,0,2,1,0
170,170,6,2,0.5645014619835041,[-1  0  1  2  3  4  5],[ 2 18  9  4  3 14  4],3,0,2,1,0
171,171,8,0,0.5661394059389266,[0 1 2 3 4 5 6 7],[18  7  5  3 12  5  2  2],3,3,1,0,0
172,172,6,1,0.6316933418820498,[-1  0  1  2  3  4  5],[ 1 18 10  8  9  5  3],1,2,2,1,0
173,173,8,1,0.509977698530736,[-1  0  1  2  3  4  5  6  7],[ 1 18  6  6  4  6  5  6  2],2,5,0,1,0
174,174,6,3,0.5736767521094527,[-1  0  1  2  3  4  5],[ 3 18  6  6  6 10  5],0,4,1,1,0
175,175,7,2,0.5871424314928906,[-1  0  1  2  3  4  5  6],[ 2 18  2  9 12  4  5  2],3,1,2,1,0
176,176,7,0,0.5872313756031894,[0 1 2 3 4 5 6],[18 11  3  4  8  5  5],2,3,1,0,0
177,177,5,1,0.6074355920004763,[-1  0  1  2  3  4],[ 1 18 14 12  4  5],1,1,2,1,0
178,178,6,0,0.5879048489528909,[0 1 2 3 4 5],[18 14 13  3  4  2],3,0,2,0,0
179,179,5,2,0.5801659079171028,[-1  0  1  2  3  4],[ 2 18 14 13  4  3],2,0,2,1,0
180,180,5,2,0.5775660386621161,[-1  0  1  2  3  4],[ 2 18 14 11  4  5],1,1,2,1,0
181,181,5,1,0.6009419185483871,[-1  0  1  2  3  4],[ 1 18 14 13  4  4],2,0,2,1,0
182,182,5,2,0.5304506418769612,[-1  0  1  2  3  4],[ 2 18 14 10  5  5],0,2,2,1,0
183,183,4,0,0.6026066715714782,[0 1 2 3],[18 19 11  6],0,1,1,1,0
184,184,6,2,0.5496051517923503,[-1  0  1  2  3  4  5],[ 2 17 12  3 13  3  4],3,0,2,1,0
185,185,6,1,0.4781787413724295,[-1  0  1  2  3  4  5],[ 1 18 11  6 10  6  2],1,2,2,1,0
186,186,4,1,0.5612855108110141,[-1  0  1  2  3],[ 1 18 18 14  3],1,0,1,2,0
187,187,6,3,0.457917001061588,[-1  0  1  2  3  4  5],[ 3 18 15  2  9  2  5],2,1,2,1,0
188,188,7,0,0.47364541747818417,[0 1 2 3 4 5 6],[18 12  5  6  2  3  8],2,3,1,0,0
