,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
125,125,8,27,-0.3174261819586028,[-1  0  1  2  3  4  5  6  7],[27  7  3  2  2  2  7  2  2],6,2,0,0,0
126,126,7,28,-0.3086106668632573,[-1  0  1  2  3  4  5  6],[28  7  2  2  4  2  7  2],5,2,0,0,0
127,127,12,17,-0.35626433440590427,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[17  4  2  3  2  5  2  3  5  2  2  5  2],9,3,0,0,0
128,128,11,21,-0.3464077341050675,[-1  0  1  2  3  4  5  6  7  8  9 10],[21  2  2  6  2  2  3  3  6  3  2  2],9,2,0,0,0
129,129,11,16,-0.299192620870808,[-1  0  1  2  3  4  5  6  7  8  9 10],[16  6  2  2  8  3  2  5  2  2  3  3],8,3,0,0,0
130,130,13,19,-0.3109656812332681,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[19  6  2  4  2  3  2  2  2  3  2  2  3  2],12,1,0,0,0
131,131,12,18,-0.34251294145561395,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[18  3  2  2  2  6  3  2  5  4  3  2  2],10,2,0,0,0
132,132,10,17,-0.3062903085711524,[-1  0  1  2  3  4  5  6  7  8  9],[17  5  7  2  2  8  3  3  3  2  2],7,3,0,0,0
133,133,8,17,-0.3510726488862329,[-1  0  1  2  3  4  5  6  7],[17  7  8  2  2  9  4  3  2],5,2,1,0,0
134,134,10,24,-0.33747081351115754,[-1  0  1  2  3  4  5  6  7  8  9],[24  6  2  4  2  5  2  3  2  2  2],8,2,0,0,0
135,135,7,30,-0.3089606310249709,[-1  0  1  2  3  4  5  6],[30 10  3  2  2  3  2  2],6,0,1,0,0
136,136,8,26,-0.3532540927053019,[-1  0  1  2  3  4  5  6  7],[26 12  2  3  2  3  2  2  2],7,0,1,0,0
137,137,7,33,-0.3313944707298855,[-1  0  1  2  3  4  5  6],[33  7  2  3  2  3  2  2],6,1,0,0,0
138,138,6,27,-0.3119859085966525,[-1  0  1  2  3  4  5],[27 12  2  5  2  2  4],4,1,1,0,0
139,139,9,33,-0.4128644517142255,[-1  0  1  2  3  4  5  6  7  8],[33  4  2  2  2  2  2  2  3  2],9,0,0,0,0
140,140,10,27,-0.3274577285818686,[-1  0  1  2  3  4  5  6  7  8  9],[27  3  3  2  4  3  4  2  2  2  2],10,0,0,0,0
141,141,7,32,-0.3451803000243391,[-1  0  1  2  3  4  5  6],[32  8  4  2  2  2  2  2],6,1,0,0,0
