,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
162,162,4,0,0.250135236041531,[0 1 2 3],[18 14 17  5],"32,4",0,1,1,1,0
163,163,5,0,0.30082613245996825,[0 1 2 3 4],[18 14 17  2  3],"32,6",2,0,1,1,0
164,164,4,0,0.3032248255540607,[0 1 2 3],[18 14 17  5],"32,8",0,1,1,1,0
165,165,4,1,0.3568613399000903,[-1  0  1  2  3],[ 1 18 14 17  4],33,1,0,1,2,0
166,166,4,0,0.4581223619440329,[0 1 2 3],[18 14 17  5],"33,2",0,1,1,1,0
167,167,4,0,0.38223602318906813,[0 1 2 3],[18 14 17  5],"33,4",0,1,1,1,0
168,168,4,0,0.4423964425575633,[0 1 2 3],[18 14 17  5],"33,6",0,1,1,1,0
169,169,4,0,0.3977744345805521,[0 1 2 3],[18 14 17  5],"33,8",0,1,1,1,0
170,170,4,0,0.28645931465513064,[0 1 2 3],[18 14 17  5],34,0,1,1,1,0
171,171,4,0,0.25826300478149317,[0 1 2 3],[18 14 17  5],"34,2",0,1,1,1,0
172,172,5,1,0.31005990612405704,[-1  0  1  2  3  4],[ 1 18 14 11  5  5],"34,4",0,2,2,1,0
173,173,5,1,0.21308101920478778,[-1  0  1  2  3  4],[ 1 18 13 11  6  5],"34,6",0,2,2,1,0
174,174,4,0,0.25666660122234136,[0 1 2 3],[18 14 17  5],"34,8",0,1,1,1,0
175,175,4,0,0.2748770231814161,[0 1 2 3],[18 14 17  5],35,0,1,1,1,0
176,176,4,0,0.3202978490714046,[0 1 2 3],[18 14 17  5],"35,2",0,1,1,1,0
177,177,4,0,0.5028776249472939,[0 1 2 3],[18 14 17  5],"35,4",0,1,1,1,0
178,178,4,0,0.3739136620951058,[0 1 2 3],[18 14 17  5],"35,6",0,1,1,1,0
179,179,4,0,0.4116788072135383,[0 1 2 3],[18 14 17  5],"35,8",0,1,1,1,0
180,180,3,1,0.0002529256908753909,[-1  0  1  2],[ 1 22 14 17],36,0,0,1,2,0
181,181,4,0,0.43103719334480317,[0 1 2 3],[18 14 17  5],"36,2",0,1,1,1,0
182,182,3,1,0.08559151411295074,[-1  0  1  2],[ 1 23 14 16],"36,4",0,0,1,2,0
183,183,4,0,0.13873086232847964,[0 1 2 3],[23  5  9 17],"36,6",0,1,1,1,0
184,184,3,1,0.12279749441317007,[-1  0  1  2],[ 1 17 19 17],"36,8",0,0,0,3,0
185,185,3,0,0.22421732081928297,[0 1 2],[18 19 17],37,0,0,0,2,0
186,186,4,0,0.31589582398871624,[0 1 2 3],[18 17 17  2],"37,2",1,0,0,2,0
187,187,3,0,0.26695090763057044,[0 1 2],[18 19 17],"37,4",0,0,0,2,0
188,188,4,0,0.23533569821221545,[0 1 2 3],[18 19  9  8],"37,6",0,1,1,1,0
189,189,5,0,0.1678157120653147,[0 1 2 3 4],[12 19 10  7  6],"37,8",0,2,1,1,0
190,190,4,1,0.09234757196438215,[-1  0  1  2  3],[ 1 11 27  8  7],38,0,2,1,1,0
191,191,5,2,0.2719893133906194,[-1  0  1  2  3  4],[ 2 18 16 10  2  6],"38,2",1,1,1,2,0
192,192,5,3,0.11848383667841575,[-1  0  1  2  3  4],[ 3 16 13  5 15  2],"38,4",1,1,2,1,0
